CASE_T,CASE_F,LOCATION,X,Y,floor,BUITYPE,FDATE,FAREA,TPRICE,UPRICE
租賃,建物,中山區建國北路一段33巷41號,121.539698,25.047854,6,華廈(10層含以下有電梯),701230,34.51,3,927.27
買賣,房地(土地+建物),中山區龍江路209巷21號,121.541394,25.056574,4,公寓(5樓含以下無電梯),591009,31.36,1750,55.8
租賃,建物,信義區信義路五段116號,121.568527,25.032578,19,住宅大樓(11層含以上有電梯),980702,29.28,6,1878.42
租賃,建物,中正區紹興北街31巷1號,121.525598,25.045179,8,華廈(10層含以下有電梯),760114,43.8,6,1298.84
買賣,房地(土地+建物),內湖區康寧路三段189巷11號,121.61248,25.070318,5,公寓(5樓含以下無電梯),770126,57.39,1850,32.24
買賣,房地(土地+建物)+車位,中山區松江路77巷1號,121.534098,25.0498,11,大樓(11層含以上有電梯),931224,17.29,1050,60.73
買賣,房地(土地+建物)+車位,內湖區民權東路六段210巷21弄6號,121.598045,25.066628,9,華廈(10層含以下有電梯),1081111,17.9,1426,79.66
租賃,建物,大同區市民大道一段206號,121.518817,25.048196,18,套房(1房(1廳)1衛),980724,13.04,3,1917.18
買賣,房地(土地+建物)+車位,內湖區民權東路六段190巷51號,121.594151,25.065107,5,華廈(10層含以下有電梯),990510,128.44,9068,70.6
租賃,建物,萬華區雙和街86號,121.501394,25.027825,5,公寓(5樓含以下無電梯),640508,9.36,1,961.54
租賃,建物,中正區中華路一段85巷11號,121.508512,25.041316,4,套房(1房(1廳)1衛),,7.73,1,1875.81
買賣,房地(土地+建物)+車位,內湖區文德路210巷30弄81號,121.584065,25.076516,25,大樓(11層含以上有電梯),1091224,76.4,6370,95.55
買賣,房地(土地+建物),萬華區艋舺大道436號,121.491557,25.028497,,公寓(5樓含以下無電梯),,30.28,1030,34.02
買賣,房地(土地+建物),士林區大西路11號,121.524088,25.089901,,公寓(5樓含以下無電梯),,25.1,1172,46.69
買賣,房地(土地+建物),大同區承德路三段143巷11號,121.51911,25.067751,,公寓(5樓含以下無電梯),,23.97,800,33.38
買賣,房地(土地+建物),文山區景華街21號,121.542058,24.995069,,公寓(5樓含以下無電梯),,23.27,1130,48.56
買賣,房地(土地+建物),信義區和平東路三段166號,121.548051,25.024424,,大樓(11層含以上有電梯),,13.64,1150,84.31
買賣,房地(土地+建物)+車位,萬華區桂林路106號,121.500001,25.038357,,大樓(11層含以上有電梯),,32,1750,58.68
買賣,房地(土地+建物)+車位,信義區中坡南路201巷1號,121.584602,25.041277,,華廈(10層含以下有電梯),,60.86,3090,50.77
買賣,房地(土地+建物)+車位,大安區信義路二段86巷26號,121.525788,25.033798,,大樓(11層含以上有電梯),,85.29,8018,94.01
買賣,房地(土地+建物),大同區民權西路226號,121.513242,25.062797,,大樓(11層含以上有電梯),,26.42,1500,56.78
買賣,房地(土地+建物),文山區福興路78巷20弄41號,121.551514,25.004916,,公寓(5樓含以下無電梯),,25.98,1150,44.26
買賣,房地(土地+建物),中正區同安街80巷21號,121.519617,25.022323,,公寓(5樓含以下無電梯),,10.29,565,54.91
買賣,房地(土地+建物),士林區光華路26巷1號,121.54221,25.137391,,華廈(10層含以下有電梯),,26.76,1100,41.11
買賣,房地(土地+建物),大安區信義路四段186號,121.551698,25.032945,,大樓(11層含以上有電梯),,19.5,2030,104.1
買賣,房地(土地+建物),士林區天母東路81巷31號,121.534949,25.119168,,公寓(5樓含以下無電梯),,29.58,1436,48.55
買賣,房地(土地+建物)+車位,大安區臥龍街316號,121.559948,25.016603,,大樓(11層含以上有電梯),,38.77,2330,60.1
買賣,建物,中正區師大路156號,121.526268,25.021025,,華廈(10層含以下有電梯),,98.09,700,7.14
買賣,房地(土地+建物),信義區基隆路一段131號,121.566559,25.04425,,大樓(11層含以上有電梯),,9.93,1190,119.84
買賣,房地(土地+建物),萬華區青年路178巷6號,121.502644,25.020546,,公寓(5樓含以下無電梯),,17.99,775,43.08
買賣,房地(土地+建物)+車位,大同區延平北路一段126號,121.511696,25.053096,,大樓(11層含以上有電梯),,58.03,4280,82.64
買賣,房地(土地+建物),大安區羅斯福路二段77巷11號,121.524658,25.026038,,公寓(5樓含以下無電梯),,13.83,1220,88.21
買賣,房地(土地+建物),信義區永吉路468巷3弄6號,121.579018,25.045067,,透天厝,,37.46,2675,71.41
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.03,3470,116.2
買賣,房地(土地+建物),萬華區西昌街206號,121.500486,25.037303,,公寓(5樓含以下無電梯),,37.33,1200,32.15
買賣,房地(土地+建物),士林區社中街210巷16號,121.509185,25.091346,,大樓(11層含以上有電梯),,38.64,1738,44.98
買賣,房地(土地+建物),大安區忠孝東路四段101巷16號,121.547966,25.042466,,華廈(10層含以下有電梯),,55.55,5000,90.01
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,59.64,4236,79.7
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,36.63,3090,112.24
買賣,房地(土地+建物),萬華區環河南路二段250巷42弄1號,121.490863,25.033964,,公寓(5樓含以下無電梯),,26.84,400,14.9
買賣,房地(土地+建物)+車位,大同區延平北路一段106號,121.511714,25.052693,,大樓(11層含以上有電梯),,71.58,4835,73.51
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,39.03,3288,109.69
買賣,房地(土地+建物),大安區建國南路一段212巷11號,121.53706,25.039785,,華廈(10層含以下有電梯),,27.42,2768,100.95
買賣,房地(土地+建物),北投區溫泉路131號,121.512165,25.139382,,公寓(5樓含以下無電梯),,21.11,540,25.58
買賣,房地(土地+建物)+車位,大同區民權西路236號,121.512935,25.062784,,大樓(11層含以上有電梯),,62.19,4100,70.77
買賣,房地(土地+建物)+車位,中正區羅斯福路三段211號,121.529811,25.019715,,大樓(11層含以上有電梯),,41.24,3500,108.68
買賣,房地(土地+建物)+車位,北投區三合街一段82巷66號,121.504715,25.128499,,華廈(10層含以下有電梯),,77.55,4450,64.48
買賣,房地(土地+建物)+車位,中正區延平南路151號,121.507816,25.035558,,大樓(11層含以上有電梯),,66.26,5550,96.26
