CASE_T,DISTRICT,CASE_F,LOCATION,GTag_longitude,GTag_latitude,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA,RMNOTE
買賣,中正區,房地(土地+建物),濟南路二段31號,121.528853 ,25.041008 ,1100412,土地:2建物:1車位:,十二層,,大樓(11層含以上有電梯),,,,36.67,2,2,2,有,有,,2688,73.3,否,,0,0,有,,,,特殊交易情況、條件：含租約。
買賣,士林區,房地(土地+建物),福華路147巷26號,121.521174 ,25.103175 ,1100401,土地:1建物:1車位:,二層,,公寓(5樓含以下無電梯),住家用,,,23.43,3,2,1,有,無,,1400,59.75,否,,0,0,無,,,,
買賣,大同區,房地(土地+建物),南京西路56號,121.519291 ,25.052738 ,1100409,土地:1建物:1車位:,五層,,大樓(11層含以上有電梯),住家用,,,18.65,,,,無,有,,1370,73.46,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
買賣,文山區,房地(土地+建物),辛亥路四段209巷21號,121.558531 ,25.006268 ,1040602,土地:1建物:1車位:,二十二層,,大樓(11層含以上有電梯),見其他登記事項,,,26.95,2,2,1,有,有,,1773,65.79,否,,0,0,有,,,,都市更新權利變換現地安置戶分回房地案件，依計畫書核定版之房地總價登錄。
買賣,信義區,房地(土地+建物),忠孝東路五段372巷29弄31號,121.574704 ,25.039173 ,1100327,土地:1建物:1車位:,一層,,華廈(10層含以下有電梯),住家用,,,27.65,3,2,2,有,無,,2450,88.61,否,,0,0,有,,,,建築物含有：其他增建。
買賣,北投區,房地(土地+建物)+車位,裕民六路121號,121.517501 ,25.115099 ,1100327,土地:1建物:1車位:2,四層,,大樓(11層含以上有電梯),住家用,,,78.81,4,2,2,有,有,,5410,68.65,是,"坡道機械1,坡道平面1",16.98,0,有,,,,
買賣,文山區,房地(土地+建物)+車位,辛亥路七段84巷1號,121.554160 ,24.981565 ,1100329,土地:2建物:1車位:1,七層,,華廈(10層含以下有電梯),住家用,,,33.45,3,2,2,有,有,,1620,48.43,是,坡道機械1,0,0,有,,,,建築物含有：陽臺外推。
買賣,萬華區,房地(土地+建物),國興路11號,121.505816 ,25.026643 ,1100404,土地:1建物:1車位:,九層,,大樓(11層含以上有電梯),住家用,,,45.56,3,2,2,有,有,,2388,52.41,否,,0,0,有,,,,建築物含有：其他增建。
買賣,大安區,房地(土地+建物)+車位,市民大道三段181號,121.542535 ,25.044917 ,1100419,土地:2建物:1車位:2,八層,,大樓(11層含以上有電梯),住家用,,,97.31,4,1,3,有,有,,9019,92.68,是,坡道平面2,0,0,有,,,,與政府有關之交易：政府機關標讓售。
買賣,大同區,房地(土地+建物)+車位,重慶北路二段121號,121.513868 ,25.057713 ,1100405,土地:1建物:1車位:1,十一層,,大樓(11層含以上有電梯),住家用,,,37.99,,,,無,有,,2857,82,否,其他1,5.83,220,有,,,,
買賣,士林區,房地(土地+建物),美崙街86巷1號,121.521220 ,25.096945 ,1100108,土地:1建物:1車位:,"一層,二層",,透天厝,住家用,,,45.59,2,3,2,有,無,,6680,146.52,-,,0,0,無,,,,建築物含有：頂樓加蓋、其他增建。
買賣,北投區,房地(土地+建物),石牌路二段348巷21號,121.524957 ,25.122309 ,1100406,土地:1建物:1車位:,三層,,華廈(10層含以下有電梯),住家用,,,11.1,,,,無,有,,480,43.24,否,,0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。
買賣,大安區,房地(土地+建物),信義路四段265巷16號,121.554232 ,25.033930 ,1100316,土地:1建物:2車位:,四層,,大樓(11層含以上有電梯),見其他登記事項,,,15.68,2,1,1,有,有,,1690,107.78,否,,0,0,有,,,,建築物含有：夾層、陽台外推。
