CASE_T,DISTRICT,CASE_F,LOCATION,LANDA,LANDA_Z,SDATE,SCNT,SBUILD,TBUILD,BUITYPE,PBUILD,MBUILD,FDATE,FAREA,BUILD_R,BUILD_L,BUILD_B,BUILD_P,RULE,BUILD_C,TPRICE,UPRICE,UPNOTE,PARKTYPE,PAREA,PPRICE,RMNOTE,ELEVATOR,MB_AREA,SB_AREA,PU_AREA
買賣,松山區,房地(土地+建物),撫遠街399巷21-25號(單號),10.06,,1100305,土地:1建物:1車位:,"陽臺,二層",,公寓(5樓含以下無電梯),住家用,,,27.15,2,2,2,有,無,,1740,64.09,否,,0,0,建築物含有：陽台外推。,無,,,
買賣,中正區,房地(土地+建物)+車位,汀州路三段31-35號(單號),5.59,,1100223,土地:1建物:1車位:1,二層,,大樓(11層含以上有電梯),見其他登記事項,,,45.87,0,0,2,有,有,,3463,83.61,否,升降機械1,7.44,250,,有,,,
買賣,大同區,房地(土地+建物),延平北路三段99巷3弄21-25號(雙號),7.11,,1100225,土地:1建物:1車位:,二層,,公寓(5樓含以下無電梯),工業用,,,21.92,3,2,1,有,無,,870,39.69,否,,0,0,建築物含有：陽台外推。,無,,,
買賣,松山區,房地(土地+建物)+車位,三民路43巷11-15號(單號),14.21,,1100321,土地:1建物:1車位:1,九層,,大樓(11層含以上有電梯),住家用,,,73.85,3,2,2,有,有,,4800,65,是,坡道平面1,0,0,,有,,,
買賣,大安區,房地(土地+建物),復興南路二段151巷6-10號(雙號),4.6,,1100308,土地:1建物:1車位:,四層,,華廈(10層含以下有電梯),住家用,,,36.95,3,2,2,有,有,,3038,82.22,否,,0,0,建築物含有：陽台外推。,有,,,
買賣,士林區,房地(土地+建物)+車位,中山北路七段141巷31-35號(單號),73.9,,1100318,土地:1建物:1車位:3,二層,,華廈(10層含以下有電梯),住家用,,,180.27,4,2,3,有,有,,20900,115.94,是,坡道平面3,0,1000,,有,,,
買賣,松山區,房地(土地+建物)+車位,松河街166-170號(雙號),6.69,,1100203,土地:1建物:1車位:1,二十二層,,大樓(11層含以上有電梯),見其他登記事項,,,80.95,4,2,3,有,有,,6900,92.5,否,坡道平面1,10.03,340,,有,,,
買賣,大安區,房地(土地+建物)+車位,永康街76-80號(雙號),16.19,,1100302,土地:2建物:1車位:3,"十二層,十三層",,大樓(11層含以上有電梯),住家用,,,106.98,4,2,3,有,有,,8750,81.79,是,"坡道機械2,坡道平面1",0,0,建築物含有：夾層、陽台外推、其他增建。,有,,,
買賣,松山區,房地(土地+建物)+車位,健康路416-420號(雙號),4.27,,1100305,土地:2建物:1車位:4,六層,,大樓(11層含以上有電梯),住家用,,,46.89,3,2,2,有,有,,3650,77.84,是,"坡道平面2,坡道機械2",0,0,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,有,,,
買賣,大同區,房地(土地+建物),庫倫街46-50號(雙號),8.29,,1091230,土地:2建物:1車位:,三層,,華廈(10層含以下有電梯),商業用,,,43.34,3,2,2,有,有,,2620,60.45,否,,0,0,建築物含有：其他增建。,有,,,
買賣,萬華區,房地(土地+建物)+車位,西園路二段281巷26-30號(雙號),8.26,,1100225,土地:1建物:1車位:1,二層,,大樓(11層含以上有電梯),住家用,,,48.25,3,2,2,有,有,,1890,39.17,是,坡道平面1,0,250,建築物含有：其他增建、陽台外推。,有,,,
買賣,士林區,土地,芝山段一小段371-375地號,24.51,,1100208,土地:1建物:0車位:,,,,,,,0,,,,無,無,,478,19.5,-,,0,0,特殊交易標的類型：(包含)公共設施保留地(用地)。,無,,,
買賣,南港區,房地(土地+建物)+車位,福德街391-395號(單號),6.72,,1100302,土地:1建物:1車位:1,五層,,大樓(11層含以上有電梯),見其他登記事項,,,40.16,3,2,1,有,有,,1900,47.31,是,坡道平面1,0,0,建築物含有：陽台外推。車位一年一抽，非固定,有,,,
買賣,大安區,車位,安和路二段81-85號(單號),0.02,,1100322,土地:2建物:1車位:1,"地下一層,地下二層,地下三層",,,商業用,,,2.42,,,,有,有,,89,0,-,升降機械1,0,89,僅車位交易。,有,,,
買賣,北投區,房地(土地+建物),致遠一路二段116-120號(單號),13.31,,1100306,土地:1建物:1車位:,五層,,公寓(5樓含以下無電梯),住家用,,,36.77,5,4,2,有,無,,1775,48.27,否,,0,0,建築物含有：頂樓加蓋、其他增建。,無,,,
